FID,ICEAREA,H,class_height,class_length
558,2808.34188,6.168398479,Small,Small
559,61311.11674,17.11759916,Medium,Very large
560,13491.04492,10.94570827,Small,Medium
561,18466.1623,9.729463436,Small,Large
562,3278.093569,9.403422533,Small,Small
563,3256.030767,7.268677872,Small,Small
564,39.24866259,3.543555886,Bergy bit,Bergy bit
565,44.14090919,3.407913577,Bergy bit,Bergy bit
566,285.3264714,3.301603439,Bergy bit,Small
567,142.5006148,2.894663947,Bergy bit,Bergy bit
568,59.51049066,2.53152442,Bergy bit,Bergy bit
569,99.22482812,2.93980946,Bergy bit,Bergy bit
570,454.60648,4.126803598,Bergy bit,Small
571,86.30316174,3.263027142,Bergy bit,Bergy bit
572,85.1924485,3.376832222,Bergy bit,Bergy bit
573,1604.265058,4.941669643,Bergy bit,Small
574,172.117556,2.812135327,Bergy bit,Bergy bit
575,985.7628707,6.150527634,Small,Small
576,75.22805774,3.722251505,Bergy bit,Bergy bit
577,10453.97672,11.99488693,Small,Medium
578,3604.159565,6.596929769,Small,Medium
579,191.0150067,3.495787773,Bergy bit,Bergy bit
580,2086.827077,6.695291109,Small,Small
581,5202.113136,6.63797574,Small,Medium
582,2016.927023,4.152209823,Bergy bit,Small
583,2993.217728,4.741882634,Bergy bit,Small
